issue_type,weight_sum_JWO,share_JWO,total_weight_JWO,ci_low_JWO,ci_high_JWO,n_issue_rows_JWO,n_boot_JWO,candidate_JWO,source,window_type,weight_metric,filter_mode,grouping_JWO,source_scope,weight_sum_OSH,share_OSH,total_weight_OSH,ci_low_OSH,ci_high_OSH,n_issue_rows_OSH,n_boot_OSH,candidate_OSH,grouping_OSH,share_diff,share_diff_ci_low_conservative,share_diff_ci_high_conservative,candidate_a,candidate_b
administrative_performance,261.7725887222398,0.22746535388856381,1150.8240013135505,0.19040717037998717,0.2587747654684975,686,300,JWO,naver_blog_cafe,daily,doc_count_weighted,strict,candidate+source+window_type,source,236.31776616671934,0.18178529369973764,1299.9828608636255,0.15235109830720328,0.21126777552897502,708,300,OSH,candidate+source+window_type,0.04568006018882617,-0.020860605148987854,0.1064236671612942,JWO,OSH
campaign_strategy,49.69314718055995,0.04318049252000322,1150.8240013135505,0.028886753958590417,0.06075717565522817,686,300,JWO,naver_blog_cafe,daily,doc_count_weighted,strict,candidate+source+window_type,source,82.77258872223979,0.06367206154337371,1299.9828608636255,0.0470045627741522,0.08155505777372053,708,300,OSH,candidate+source+window_type,-0.020491569023370487,-0.052668303815130116,0.013752612881075967,JWO,OSH
candidate_positioning,36.23286795139986,0.03148428248806391,1150.8240013135505,0.01877300012286724,0.04756655359149686,686,300,JWO,naver_blog_cafe,daily,doc_count_weighted,strict,candidate+source+window_type,source,17.693147180559947,0.01361029265324756,1299.9828608636255,0.006121667232084427,0.024764777890120864,708,300,OSH,candidate+source+window_type,0.01787398983481635,-0.005991777767253625,0.04144488635941244,JWO,OSH
candidate_selection,137.7725887222398,0.11971647147173343,1150.8240013135505,0.09617802780598175,0.14894859291592108,686,300,JWO,naver_blog_cafe,daily,doc_count_weighted,strict,candidate+source+window_type,source,168.3123094930797,0.12947271426429713,1299.9828608636255,0.10442953638886292,0.158044007891131,708,300,OSH,candidate+source+window_type,-0.009756242792563694,-0.061865980085149236,0.04451905652705816,JWO,OSH
community_reaction,26.0,0.02259250760352895,1150.8240013135505,0.01223766314761822,0.03852592420828092,686,300,JWO,naver_blog_cafe,daily,doc_count_weighted,strict,candidate+source+window_type,source,49.0,0.03769280463239918,1299.9828608636255,0.024609271383984367,0.05369966142868626,708,300,OSH,candidate+source+window_type,-0.015100297028870228,-0.041461998281068044,0.013916652824296556,JWO,OSH
controversy_attack_defense,136.7725887222398,0.1188475288715977,1150.8240013135505,0.09444684166287176,0.1455693715300164,686,300,JWO,naver_blog_cafe,daily,doc_count_weighted,strict,candidate+source+window_type,source,66.79175946922805,0.0513789538924043,1299.9828608636255,0.034120359184634325,0.07250388622703528,708,300,OSH,candidate+source+window_type,0.0674685749791934,0.021942955435836478,0.11144901234538207,JWO,OSH
debate_broadcast,27.846573590279974,0.0241970740604088,1150.8240013135505,0.013321124280561527,0.03629965219371264,686,300,JWO,naver_blog_cafe,daily,doc_count_weighted,strict,candidate+source+window_type,source,37.69314718055995,0.028995110870553346,1299.9828608636255,0.016737953800193352,0.0459626324545861,708,300,OSH,candidate+source+window_type,-0.004798036810144547,-0.03264150817402457,0.019561698393519285,JWO,OSH
legal_election_rule,17.693147180559947,0.0153743293156599,1150.8240013135505,0.006904613878594909,0.02642717083123593,686,300,JWO,naver_blog_cafe,daily,doc_count_weighted,strict,candidate+source+window_type,source,17.0,0.013077095484709918,1299.9828608636255,0.0034667576845979187,0.024938556931988324,708,300,OSH,candidate+source+window_type,0.0022972338309499817,-0.018033943053393415,0.022960413146638013,JWO,OSH
media_column_summary,2.0,0.0017378852002714576,1150.8240013135505,0.0,0.0053685268472131046,686,300,JWO,naver_blog_cafe,daily,doc_count_weighted,strict,candidate+source+window_type,source,8.098612288668111,0.006229783893679883,1299.9828608636255,0.0007626826515640372,0.012513239795149369,708,300,OSH,candidate+source+window_type,-0.0044918986934084255,-0.012513239795149369,0.004605844195649068,JWO,OSH
media_photo_event,5.846573590279973,0.0050803368574227625,1150.8240013135505,0.0,0.01190853817573288,686,300,JWO,naver_blog_cafe,daily,doc_count_weighted,strict,candidate+source+window_type,source,7.693147180559945,0.005917883544594665,1299.9828608636255,0.0013051220941126401,0.012533949125955565,708,300,OSH,candidate+source+window_type,-0.0008375466871719025,-0.012533949125955565,0.01060341608162024,JWO,OSH
policy_real_estate_tax,190.2574953720278,0.16532284272388123,1150.8240013135505,0.12866665955590317,0.20202023422092788,686,300,JWO,naver_blog_cafe,daily,doc_count_weighted,strict,candidate+source+window_type,source,261.49036332342763,0.20114908526540892,1299.9828608636255,0.1604703814179402,0.2382857880459123,708,300,OSH,candidate+source+window_type,-0.03582624254152769,-0.10961912849000913,0.041549852802987675,JWO,OSH
policy_transport_infrastructure,68.01961340491665,0.05910513973229535,1150.8240013135505,0.03822472626503725,0.08376840199164964,686,300,JWO,naver_blog_cafe,daily,doc_count_weighted,strict,candidate+source+window_type,source,125.3862943611199,0.09645226728437116,1299.9828608636255,0.07474448180820129,0.11989843564705746,708,300,OSH,candidate+source+window_type,-0.03734712755207581,-0.0816737093820202,0.009023920183448358,JWO,OSH
policy_welfare_livelihood,5.0,0.004344713000678644,1150.8240013135505,0.0,0.01716514764462508,686,300,JWO,naver_blog_cafe,daily,doc_count_weighted,strict,candidate+source+window_type,source,12.0,0.009230890930383472,1299.9828608636255,0.003056930268461361,0.017024040212357473,708,300,OSH,candidate+source+window_type,-0.004886177929704828,-0.017024040212357473,0.014108217376163721,JWO,OSH
race_polling,140.91681687680693,0.12244862525978296,1150.8240013135505,0.09099554410305699,0.15430930215293787,686,300,JWO,naver_blog_cafe,daily,doc_count_weighted,strict,candidate+source+window_type,source,117.9611367752233,0.09074053229967774,1299.9828608636255,0.06796982866188646,0.11935575051852962,708,300,OSH,candidate+source+window_type,0.031708092960105225,-0.028360206415472627,0.08633947349105141,JWO,OSH
regional_visit,14.0,0.012165196401900204,1150.8240013135505,0.0051978349774027925,0.020579706764512033,686,300,JWO,naver_blog_cafe,daily,doc_count_weighted,strict,candidate+source+window_type,source,19.0,0.014615577306440497,1299.9828608636255,0.0068736824040829085,0.02350681643522603,708,300,OSH,candidate+source+window_type,-0.0024503809045402936,-0.018308981457823236,0.013706024360429125,JWO,OSH
safety_accident,19.0,0.01650990940257885,1150.8240013135505,0.006927167561600034,0.0266417190123299,686,300,JWO,naver_blog_cafe,daily,doc_count_weighted,strict,candidate+source+window_type,source,21.0,0.016154059128171076,1299.9828608636255,0.006866893767573046,0.02797827215285828,708,300,OSH,candidate+source+window_type,0.0003558502744077721,-0.021051104591258245,0.019774825244756853,JWO,OSH
symbolic_event,2.0,0.0017378852002714576,1150.8240013135505,0.0,0.005239585932194653,686,300,JWO,naver_blog_cafe,daily,doc_count_weighted,strict,candidate+source+window_type,source,6.693147180559945,0.0051486426337293755,1299.9828608636255,0.0007631644962348329,0.01111651457167725,708,300,OSH,candidate+source+window_type,-0.003410757433457918,-0.01111651457167725,0.00447642143595982,JWO,OSH
administrative_notice,2.0,0.0007572249110612615,2641.2231964172593,0.0,0.002400581105744148,266,300,JWO,naver_blog_cafe,rolling_14d,doc_count_weighted,strict,candidate+source+window_type,source,136.46573590279974,0.05032772217255814,2711.542068899941,0.020272309711737855,0.08342663860838286,221,300,OSH,candidate+source+window_type,-0.04957049726149688,-0.08342663860838286,-0.017871728605993707,JWO,OSH
administrative_performance,886.5451774444796,0.3356570465710932,2641.2231964172593,0.2521764103870498,0.41215419042498613,266,300,JWO,naver_blog_cafe,rolling_14d,doc_count_weighted,strict,candidate+source+window_type,source,392.50127667070694,0.14475205130412847,2711.542068899941,0.09439070490539973,0.20206293424687505,221,300,OSH,candidate+source+window_type,0.19090499526696472,0.05011347614017475,0.3177634855195864,JWO,OSH
campaign_strategy,6.0,0.0022716747331837845,2641.2231964172593,0.0,0.008326593931034566,266,300,JWO,naver_blog_cafe,rolling_14d,doc_count_weighted,strict,candidate+source+window_type,source,52.0,0.019177279451576473,2711.542068899941,0.0018625656682451698,0.04026692644910047,221,300,OSH,candidate+source+window_type,-0.016905604718392687,-0.04026692644910047,0.006464028262789396,JWO,OSH
candidate_positioning,113.40888308335967,0.04293801570317701,2641.2231964172593,0.023673144839945502,0.06526205162915551,266,300,JWO,naver_blog_cafe,rolling_14d,doc_count_weighted,strict,candidate+source+window_type,source,163.3862943611199,0.060255858183090955,2711.542068899941,0.024259107722434798,0.10529270966061642,221,300,OSH,candidate+source+window_type,-0.017317842479913942,-0.08161956482067093,0.04100294390672071,JWO,OSH
candidate_selection,269.08489821531947,0.10187889405951195,2641.2231964172593,0.0645262757266765,0.1478537473973423,266,300,JWO,naver_blog_cafe,rolling_14d,doc_count_weighted,strict,candidate+source+window_type,source,255.47119257643936,0.0942162009974209,2711.542068899941,0.05516092194979719,0.13047530574143854,221,300,OSH,candidate+source+window_type,0.007662693062091053,-0.06594903001476203,0.09269282544754512,JWO,OSH
community_reaction,13.0,0.0049219619218982,2641.2231964172593,0.0,0.011648122305969129,266,300,JWO,naver_blog_cafe,rolling_14d,doc_count_weighted,strict,candidate+source+window_type,source,47.386294361119894,0.01747577325265113,2711.542068899941,0.0031057938785887798,0.03726577403268378,221,300,OSH,candidate+source+window_type,-0.01255381133075293,-0.03726577403268378,0.008542328427380348,JWO,OSH
controversy_attack_defense,296.46573590279974,0.1122456202508545,2641.2231964172593,0.06565076750502906,0.16888016615178797,266,300,JWO,naver_blog_cafe,rolling_14d,doc_count_weighted,strict,candidate+source+window_type,source,131.33963503362054,0.04843724777130394,2711.542068899941,0.023301084896648058,0.08348477136425507,221,300,OSH,candidate+source+window_type,0.06380837247955055,-0.01783400385922601,0.1455790812551399,JWO,OSH
debate_broadcast,44.0,0.016658948043347752,2641.2231964172593,0.003612599727151118,0.03777313315682675,266,300,JWO,naver_blog_cafe,rolling_14d,doc_count_weighted,strict,candidate+source+window_type,source,94.69314718055995,0.03492224895443959,2711.542068899941,0.011040773423193552,0.06441165341484528,221,300,OSH,candidate+source+window_type,-0.01826330091109184,-0.060799053687694164,0.0267323597336332,JWO,OSH
media_photo_event,47.852030263919616,0.01811737468034866,2641.2231964172593,0.009122327060933568,0.02910086448574592,266,300,JWO,naver_blog_cafe,rolling_14d,doc_count_weighted,strict,candidate+source+window_type,source,19.0,0.007007082876537557,2711.542068899941,0.0,0.019352239700264867,221,300,OSH,candidate+source+window_type,0.011110291803811104,-0.010229912639331299,0.02910086448574592,JWO,OSH
policy_real_estate_tax,277.7725887222398,0.1051681618952272,2641.2231964172593,0.05659699642716184,0.1592418034272639,266,300,JWO,naver_blog_cafe,rolling_14d,doc_count_weighted,strict,candidate+source+window_type,source,638.9314718055995,0.23563398817736608,2711.542068899941,0.17636470219811184,0.29828281611083884,221,300,OSH,candidate+source+window_type,-0.13046582628213887,-0.241685819683677,-0.01712289877084794,JWO,OSH
policy_transport_infrastructure,219.69215925854675,0.08317818787770478,2641.2231964172593,0.04367978178932136,0.13129776343641258,266,300,JWO,naver_blog_cafe,rolling_14d,doc_count_weighted,strict,candidate+source+window_type,source,220.61916231251976,0.08136298707769038,2711.542068899941,0.045201058160141895,0.11714549330675086,221,300,OSH,candidate+source+window_type,0.0018152008000144049,-0.0734657115174295,0.0860967052762707,JWO,OSH
policy_welfare_livelihood,28.178053830347945,0.010668562152782331,2641.2231964172593,0.0,0.028411777988972733,266,300,JWO,naver_blog_cafe,rolling_14d,doc_count_weighted,strict,candidate+source+window_type,source,53.846573590279974,0.019858284408666858,2711.542068899941,0.0040946770609634016,0.03818370442787644,221,300,OSH,candidate+source+window_type,-0.009189722255884526,-0.03818370442787644,0.02431710092800933,JWO,OSH
race_polling,351.37709610596704,0.13303574517390263,2641.2231964172593,0.09296935797072582,0.17742819116340755,266,300,JWO,naver_blog_cafe,rolling_14d,doc_count_weighted,strict,candidate+source+window_type,source,267.7780453958794,0.09875489245295598,2711.542068899941,0.059021266955294235,0.1427264240989408,221,300,OSH,candidate+source+window_type,0.03428085272094665,-0.04975706612821497,0.11840692420811331,JWO,OSH
administrative_notice,25.0,0.009341371550846609,2676.2665272354197,0.0022287721551778085,0.021975121673682485,450,300,JWO,naver_blog_cafe,rolling_7d,doc_count_weighted,strict,candidate+source+window_type,source,62.0,0.023894825260006483,2594.704055181828,0.009738900710184262,0.041510337682081115,468,300,OSH,candidate+source+window_type,-0.014553453709159874,-0.0392815655269033,0.012236220963498223,JWO,OSH
administrative_performance,589.84657359028,0.22039904007602365,2676.2665272354197,0.1540956571850235,0.28848309072284795,450,300,JWO,naver_blog_cafe,rolling_7d,doc_count_weighted,strict,candidate+source+window_type,source,343.961555899867,0.1325629237804399,2594.704055181828,0.09797518292647067,0.17233695982093392,468,300,OSH,candidate+source+window_type,0.08783611629558374,-0.018241302635910422,0.19050790779637727,JWO,OSH
campaign_strategy,36.0,0.013451575033219117,2676.2665272354197,0.006539540940167202,0.02247037082865053,450,300,JWO,naver_blog_cafe,rolling_7d,doc_count_weighted,strict,candidate+source+window_type,source,79.0,0.03044663218613729,2594.704055181828,0.01147360683725496,0.05755898748025229,468,300,OSH,candidate+source+window_type,-0.016995057152918172,-0.051019446540085084,0.01099676399139557,JWO,OSH
candidate_positioning,99.39175103475954,0.037138211020197265,2676.2665272354197,0.02346565583254736,0.05584817215845498,450,300,JWO,naver_blog_cafe,rolling_7d,doc_count_weighted,strict,candidate+source+window_type,source,46.69314718055995,0.017995557947084587,2594.704055181828,0.006531230213000177,0.03429359090456884,468,300,OSH,candidate+source+window_type,0.019142653073112678,-0.010827935072021483,0.0493169419454548,JWO,OSH
candidate_selection,243.04925484125584,0.09081653578514298,2676.2665272354197,0.06165821584051692,0.1280347486152402,450,300,JWO,naver_blog_cafe,rolling_7d,doc_count_weighted,strict,candidate+source+window_type,source,257.47119257643936,0.09922950251773381,2594.704055181828,0.06437654423580552,0.13720213888393243,468,300,OSH,candidate+source+window_type,-0.00841296673259083,-0.0755439230434155,0.06365820437943467,JWO,OSH
community_reaction,66.07944154167984,0.024690904612531185,2676.2665272354197,0.014656847157097244,0.03929043256939113,450,300,JWO,naver_blog_cafe,rolling_7d,doc_count_weighted,strict,candidate+source+window_type,source,81.69314718055995,0.03148457220676566,2594.704055181828,0.014241283796219029,0.05274429195484164,468,300,OSH,candidate+source+window_type,-0.006793667594234477,-0.038087444797744396,0.025049148773172103,JWO,OSH
controversy_attack_defense,281.46287474291654,0.10516997162971932,2676.2665272354197,0.06549486448151956,0.14353438455627204,450,300,JWO,naver_blog_cafe,rolling_7d,doc_count_weighted,strict,candidate+source+window_type,source,124.26565016558034,0.047892032202058676,2594.704055181828,0.029462561910116078,0.07252698688344399,468,300,OSH,candidate+source+window_type,0.05727793942766064,-0.007032122401924426,0.11407182264615597,JWO,OSH
