issue_type,weight_sum,share,total_weight,ci_low,ci_high,n_issue_rows,n_boot,candidate,source,window_type,weight_metric,filter_mode,grouping,source_scope
race_polling,292.4721261517958,0.06214170691829636,4706.53512199684,0.03232286243683741,0.09969415415904222,213,300,JWO,daum_article,calendar_week,doc_count_weighted,balanced,candidate+source+window_type,source
regional_visit,104.69314718055995,0.022244208205577317,4706.53512199684,0.004650977424713882,0.04559197088287809,213,300,JWO,daum_article,calendar_week,doc_count_weighted,balanced,candidate+source+window_type,source
safety_accident,142.69953742955605,0.0303194459896037,4706.53512199684,0.0034474040789138137,0.06582558849706602,213,300,JWO,daum_article,calendar_week,doc_count_weighted,balanced,candidate+source+window_type,source
symbolic_event,7.605170185988092,0.0016158745210343717,4706.53512199684,0.0,0.004976236565703038,213,300,JWO,daum_article,calendar_week,doc_count_weighted,balanced,candidate+source+window_type,source
administrative_notice,128.54517744447955,0.015247071285843947,8430.811074112742,0.0081988186492257,0.02406024539095009,1310,300,JWO,daum_article,daily,doc_count_weighted,balanced,candidate+source+window_type,source
administrative_performance,1172.4509498143502,0.13906739689784103,8430.811074112742,0.11430348301363374,0.1611365179465181,1310,300,JWO,daum_article,daily,doc_count_weighted,balanced,candidate+source+window_type,source
campaign_strategy,972.9994514958967,0.11540994608259503,8430.811074112742,0.08835805649166684,0.14451961262671306,1310,300,JWO,daum_article,daily,doc_count_weighted,balanced,candidate+source+window_type,source
candidate_positioning,168.47036547582732,0.019982699647146007,8430.811074112742,0.014265965945147481,0.027798028575824918,1310,300,JWO,daum_article,daily,doc_count_weighted,balanced,candidate+source+window_type,source
candidate_selection,989.8698394541763,0.1174109858176783,8430.811074112742,0.09375927072685004,0.14156236715967147,1310,300,JWO,daum_article,daily,doc_count_weighted,balanced,candidate+source+window_type,source
community_reaction,24.06638688985597,0.00285457551809613,8430.811074112742,0.0003592157919781951,0.007025386205112387,1310,300,JWO,daum_article,daily,doc_count_weighted,balanced,candidate+source+window_type,source
controversy_attack_defense,844.0765477943041,0.10011807172219604,8430.811074112742,0.07573344240295629,0.13167446725515056,1310,300,JWO,daum_article,daily,doc_count_weighted,balanced,candidate+source+window_type,source
debate_broadcast,375.4226047991175,0.04452983247980408,8430.811074112742,0.027488555352481812,0.06193799440411417,1310,300,JWO,daum_article,daily,doc_count_weighted,balanced,candidate+source+window_type,source
legal_election_rule,144.97599424332287,0.0171959723648036,8430.811074112742,0.010987492833897966,0.02509172696941062,1310,300,JWO,daum_article,daily,doc_count_weighted,balanced,candidate+source+window_type,source
media_column_summary,28.0,0.0033211513997716663,8430.811074112742,0.0,0.009546032808956337,1310,300,JWO,daum_article,daily,doc_count_weighted,balanced,candidate+source+window_type,source
media_photo_event,724.5959954027851,0.0859461787286037,8430.811074112742,0.06707297968635223,0.11003135744871384,1310,300,JWO,daum_article,daily,doc_count_weighted,balanced,candidate+source+window_type,source
policy_real_estate_tax,806.9361593650053,0.09571275554290928,8430.811074112742,0.07256463113660233,0.1224320082773794,1310,300,JWO,daum_article,daily,doc_count_weighted,balanced,candidate+source+window_type,source
policy_transport_infrastructure,538.3929859872383,0.06386016496567012,8430.811074112742,0.04352589077455132,0.08715173867087384,1310,300,JWO,daum_article,daily,doc_count_weighted,balanced,candidate+source+window_type,source
policy_welfare_livelihood,71.3862943611199,0.008467310408640913,8430.811074112742,0.003982160882083951,0.014851219159259296,1310,300,JWO,daum_article,daily,doc_count_weighted,balanced,candidate+source+window_type,source
race_polling,584.9506425525877,0.0693824873325308,8430.811074112742,0.04896174344013543,0.0904925827311396,1310,300,JWO,daum_article,daily,doc_count_weighted,balanced,candidate+source+window_type,source
regional_visit,319.53526861728994,0.037900893023025996,8430.811074112742,0.02273550652383332,0.05138773317269281,1310,300,JWO,daum_article,daily,doc_count_weighted,balanced,candidate+source+window_type,source
safety_accident,370.6944316467716,0.04396901180540135,8430.811074112742,0.024146802429944658,0.06269695033903361,1310,300,JWO,daum_article,daily,doc_count_weighted,balanced,candidate+source+window_type,source
symbolic_event,165.4419787686149,0.01962349497744213,8430.811074112742,0.009741333907430608,0.028554606587663907,1310,300,JWO,daum_article,daily,doc_count_weighted,balanced,candidate+source+window_type,source
administrative_notice,614.9204331708179,0.01326725880088656,46348.71772680932,0.008597257776853563,0.018419105117870378,1485,300,JWO,daum_article,rolling_14d,doc_count_weighted,balanced,candidate+source+window_type,source
administrative_performance,9130.963981915476,0.19700575182544663,46348.71772680932,0.17373753037779635,0.22422835082441156,1485,300,JWO,daum_article,rolling_14d,doc_count_weighted,balanced,candidate+source+window_type,source
campaign_strategy,3225.84143520616,0.06959936743493225,46348.71772680932,0.052663537312792996,0.08491877872237753,1485,300,JWO,daum_article,rolling_14d,doc_count_weighted,balanced,candidate+source+window_type,source
candidate_positioning,2540.1247615043794,0.05480463939642292,46348.71772680932,0.044214614365666566,0.06494185941041371,1485,300,JWO,daum_article,rolling_14d,doc_count_weighted,balanced,candidate+source+window_type,source
candidate_selection,7376.634549425375,0.15915509449269044,46348.71772680932,0.1384739631405638,0.18272919431736787,1485,300,JWO,daum_article,rolling_14d,doc_count_weighted,balanced,candidate+source+window_type,source
community_reaction,31.693147180559947,0.0006837977129673168,46348.71772680932,0.0,0.0020784145205763245,1485,300,JWO,daum_article,rolling_14d,doc_count_weighted,balanced,candidate+source+window_type,source
controversy_attack_defense,5811.259281642855,0.12538123095218812,46348.71772680932,0.11008754942824707,0.1458769666836734,1485,300,JWO,daum_article,rolling_14d,doc_count_weighted,balanced,candidate+source+window_type,source
debate_broadcast,1535.3655101913616,0.033126385917323135,46348.71772680932,0.024588844723238863,0.04269143196589461,1485,300,JWO,daum_article,rolling_14d,doc_count_weighted,balanced,candidate+source+window_type,source
